seed,r,nmse_test,nmse_test_noiseless,success,expression,traversal,error_log,error_exp,error_true_divide,error_multiply,error_node_invalid,error_node_overflow,error_node_divide,error_node_underflow,n_epochs,n_samples,n_cached,t
0,0.9264948868459648,0.006294323315540118,0.006294323315540118,False,[(x1**2 + x1*(log(x1) - 1)*(sin(x1) + (x1 + exp(x1/log(x1 + (2*x1**2 + x1**2/cos(1/(2*log(x1 + 1))) - x1)/x1)))/x1) + x1)/x1**2],"div,div,add,add,mul,add,div,add,exp,div,x1,log,add,div,mul,div,div,mul,add,add,sub,mul,x1,add,x1,x1,x1,x1,sub,div,x1,mul,div,cos,sub,add,div,div,x1,add,x1,x1,log,add,div,x1,x1,x1,x1,x1,x1,div,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,sin,x1,mul,sub,log,x1,div,x1,x1,x1,x1,mul,x1,x1,x1,x1",137433,173649,13703,28,119004,157668,32127,16014,247,2007536,1168736,521.0257320404054
1,0.9330440610495834,0.005149604832391993,0.005149604832391993,False,[log(x1 + sin(exp(x1)) + (-x1 + exp(x1*cos(x1*(x1*(x1 + exp(1/(x1 + (x1 + (2*x1 + exp(x1)/log(exp(x1) - exp(log(x1 + 1)/x1)))*log(log(exp(x1) - exp(log(x1 + 1)/x1)))/x1)*exp(-x1)))) + x1))))/(x1*(x1 + exp(1/(x1 + (x1 + (x1 + log(x1**2))*log(log(-x1 + exp(x1)))/x1)*exp(-x1))))))],"log,add,add,div,div,sub,add,sub,exp,mul,cos,mul,add,add,div,sub,x1,x1,x1,mul,add,exp,div,x1,mul,add,div,add,div,mul,log,log,sub,exp,x1,exp,div,log,add,mul,exp,sub,x1,add,log,x1,x1,x1,x1,x1,add,add,mul,exp,sub,x1,add,log,x1,log,log,sub,exp,x1,exp,div,log,add,mul,exp,sub,x1,add,log,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,add,exp,div,x1,mul,add,div,add,div,mul,log,log,sub,exp,x1,x1,add,x1,log,mul,x1,x1,x1,x1,exp,x1,x1,x1,x1,sin,exp,x1,x1",148939,173069,15041,14,126567,151373,37413,21710,247,2006665,1141867,499.1168105602264
2,0.9620318210770874,0.0015576169341329242,0.0015576169341329242,False,[exp((x1 + sin(x1**2)/x1)*exp(cos(log(x1)))/(x1*cos(log(log(x1 + log(2*x1))))))],"exp,div,div,exp,cos,log,x1,cos,sub,div,mul,add,log,log,add,log,add,x1,x1,x1,x1,mul,x1,div,x1,x1,x1,x1,div,x1,add,div,sin,mul,x1,x1,add,sub,x1,x1,x1,x1",140420,181965,16250,12,116832,162032,39836,19947,247,2006323,1128795,488.65277099609375
3,0.95061206772756,0.002699199851553953,0.002699199851553953,False,[exp((2*x1*sin(x1*(-4*x1 + log(x1**2 - x1)) + 2*x1) + 2*x1 + log(x1*log(x1) - x1))/x1)],"exp,div,add,mul,sin,add,add,mul,sub,sub,sub,add,sub,log,sub,mul,x1,x1,x1,x1,x1,x1,add,x1,x1,x1,x1,x1,x1,add,x1,x1,add,add,log,sub,mul,log,x1,x1,x1,x1,x1,x1",191312,131858,10976,14,161889,116453,40397,15421,247,2006491,1194083,512.6911566257477
4,0.9480085967496984,0.0030077277807180475,0.0030077277807180475,False,[x1**2/(3*x1 - (x1 + 6*x1/log(x1**2))*sin(x1 + (3*x1 - exp(x1) - log(exp(x1) + 1 + log(2*x1)/(2*x1))/x1)/x1) - (2*x1 + 6)*sin(x1 + (4*x1 - exp(x1) - log(2*x1)/(2*x1))/x1))],"div,x1,div,add,sub,x1,mul,add,add,div,mul,div,add,add,div,mul,x1,x1,x1,x1,x1,x1,add,sub,x1,x1,add,x1,x1,x1,x1,x1,sin,add,div,add,sub,x1,sub,sub,add,div,log,add,x1,x1,add,x1,x1,exp,x1,x1,x1,x1,x1,x1,add,sub,x1,mul,add,div,mul,div,add,add,div,mul,x1,x1,x1,x1,x1,log,add,mul,x1,x1,sub,x1,x1,add,sub,x1,x1,add,x1,x1,x1,x1,sin,add,div,add,sub,x1,sub,add,div,log,add,sub,add,div,log,add,x1,x1,add,x1,x1,exp,x1,x1,add,div,x1,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1",131204,167715,14156,49,109327,150115,36032,17650,247,2006833,1164711,496.239666223526
5,0.9286992576167612,0.00589437696169029,0.00589437696169029,False,[log((x1**2*(x1 + log(2*x1**2*exp(2*x1*sin(x1 + (x1**2 + x1)/x1)*cos(x1)))) + x1 + exp(x1*sin(x1 + (x1**2 + x1)/x1)))/(2*x1**2))],"log,div,add,add,exp,mul,sin,add,div,add,mul,add,mul,div,sub,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,mul,add,add,sub,sub,add,log,mul,mul,add,x1,x1,x1,exp,mul,sin,add,div,add,mul,x1,x1,x1,x1,x1,mul,cos,x1,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,mul,add,x1,x1,x1",156016,163645,13302,10,132865,141573,36446,22089,247,2006079,1171310,523.4144494533539
6,0.9546727264135578,0.002254291966164613,0.002254291966164613,False,[(x1 + x1/sin(log(x1) - 1))/log(2*x1**6 + x1)],"div,add,x1,div,x1,sin,sub,log,x1,div,x1,x1,log,add,mul,mul,mul,mul,mul,x1,x1,x1,x1,x1,add,x1,x1,x1",141824,162353,9808,10,120664,148442,30964,13925,247,2007297,1178433,508.1903131008148
7,0.9273357668509076,0.006139985818775065,0.006139985818775065,False,[log(x1 + 2*exp(x1*cos(x1*log(x1)**2)))],"log,add,exp,mul,cos,mul,log,x1,mul,x1,log,x1,x1,add,exp,mul,cos,mul,log,x1,mul,log,x1,x1,x1,x1",145654,144309,11564,37,123838,131971,33379,12376,247,2007749,1145657,496.2253153324127
8,0.9406258816816321,0.0039843776790040725,0.0039843776790040725,False,[log(x1*exp(x1*exp(sin((-x1*log(x1 + 1/x1) + x1)/x1))*exp(sin((-x1*log(x1 + (-x1*log(x1 + 3) + x1)/x1**2) + x1)/x1))*log(log(x1))**2 - x1) + x1)],"log,add,mul,exp,sin,div,mul,log,div,mul,x1,x1,mul,x1,x1,x1,x1,x1,mul,exp,sub,mul,sub,add,mul,exp,sin,div,sub,x1,mul,log,add,div,mul,sub,add,mul,div,x1,x1,div,sub,x1,mul,log,add,div,mul,add,add,mul,div,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,mul,sub,add,mul,exp,sin,div,sub,x1,mul,log,add,div,mul,sub,add,mul,div,x1,x1,div,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,log,add,sub,log,x1,x1,x1,x1,x1,log,add,sub,log,x1,x1,x1,x1,x1",142031,210198,13278,48,117909,194391,37399,15856,247,2006466,1125893,483.1046419143677
9,0.9558323116854639,0.0021352361987722343,0.0021352361987722343,False,[log(x1*exp(x1*cos(x1*log(log(log(x1 + exp(log(log(2*x1))/x1)))/x1**2))) + x1 + (x1*exp(x1*cos(x1*log(log(log(x1 + log(log(2*x1))/x1))/x1**2))) + sin(log(log(x1 + exp(log(log(x1 + log(x1**2)))/x1)))/x1))/x1)],"log,add,div,add,mul,exp,mul,cos,mul,log,div,div,log,log,add,x1,sub,add,div,log,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,sin,div,log,log,add,x1,exp,sub,add,div,log,log,add,x1,log,mul,x1,x1,x1,x1,x1,x1,x1,add,mul,exp,mul,cos,mul,log,div,div,log,log,add,x1,exp,sub,add,div,log,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",141327,161791,14634,16,118468,145048,37493,16759,247,2006215,1131362,493.9886996746063
